"code","name"
"BIvaBouVvpInv","Investeringen bouwclaims"
"BIvaBouVvpAdo","Aankopen door overnames bouwclaims"
"BIvaBouVvpDes","Desinvesteringen bouwclaims"
"BIvaBouVvpDda","Desinvesteringen door afstotingen bouwclaims"
"BIvaBouVvpOmv","Omrekeningsverschillen bouwclaims"
"BIvaBouVvpOvm","Overige mutaties bouwclaims"
"BIvaBouCae","Cumulatieve afschrijvingen en waardeverminderingen bouwclaims"
"BIvaBouCaeBeg","Beginbalans bouwclaims"
"BIvaBouCaeAfs","Afschrijvingen bouwclaims"
"BIvaBouCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen bouwclaims"
"BIvaBouCaeWvr","Waardeverminderingen bouwclaims"
"BIvaBouCaeTvw","Terugneming van waardeverminderingen bouwclaims"
"BIvaBouCuh","Cumulatieve herwaarderingen bouwclaims"
"BIvaBouCuhBeg","Beginbalans bouwclaims"
"BIvaBouCuhHer","Herwaarderingen bouwclaims"
"BIvaBouCuhAfh","Afschrijving herwaarderingen bouwclaims"
"BIvaBouCuhDeh","Desinvestering herwaarderingen bouwclaims"
"BIvaCev","Concessies en vergunningen"
"BIvaCevVvp","Verkrijgings- of vervaardigingsprijs concessies en vergunningen"
"BIvaCevVvpBeg","Beginbalans concessies en vergunningen"
"BIvaCevVvpInv","Investeringen concessies en vergunningen"
"BIvaCevVvpAdo","Aankopen door overnames concessies en vergunningen"
"BIvaCevVvpDes","Desinvesteringen concessies en vergunningen"
"BIvaCevVvpDda","Desinvesteringen door afstotingen concessies en vergunningen"
"BIvaCevVvpOmv","Omrekeningsverschillen concessies en vergunningen"
"BIvaCevVvpOvm","Overige mutaties concessies en vergunningen"
"BIvaCevCae","Cumulatieve afschrijvingen en waardeverminderingen concessies en vergunningen"
"BIvaCevCaeBeg","Beginbalans concessies en vergunningen"
"BIvaCevCaeAfs","Afschrijvingen concessies en vergunningen"
"BIvaCevCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen concessies en vergunningen"
"BIvaCevCaeWvr","Waardeverminderingen concessies en vergunningen"
"BIvaCevCaeTvw","Terugneming van waardeverminderingen concessies en vergunningen"
"BIvaCevCuh","Cumulatieve herwaarderingen concessies en vergunningen"
"BIvaCevCuhBeg","Beginbalans concessies en vergunningen"
"BIvaCevCuhHer","Herwaarderingen concessies en vergunningen"
"BIvaCevCuhAfh","Afschrijving herwaarderingen concessies en vergunningen"
"BIvaCevCuhDeh","Desinvestering herwaarderingen concessies en vergunningen"
"BIvaGoo","Goodwill"
"BIvaGooVvp","Verkrijgings- of vervaardigingsprijs goodwill"
"BIvaGooVvpBeg","Beginbalans goodwill"
"BIvaGooVvpInv","Investeringen goodwill"
"BIvaGooVvpAdo","Aankopen door overnames goodwill"
"BIvaGooVvpDes","Desinvesteringen goodwill"
"BIvaGooVvpDda","Desinvesteringen door afstotingen goodwill"
"BIvaGooVvpOmv","Omrekeningsverschillen goodwill"
"BIvaGooVvpOvm","Overige mutaties goodwill"
"BIvaGooCae","Cumulatieve afschrijvingen en waardeverminderingen goodwill"
"BIvaGooCaeBeg","Beginbalans goodwill"
"BIvaGooCaeAfs","Afschrijvingen goodwill"
"BIvaGooCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen goodwill"
"BIvaGooCaeWvr","Waardeverminderingen goodwill"
"BIvaGooCaeTvw","Terugneming van waardeverminderingen goodwill"
"BIvaGooCuh","Cumulatieve herwaarderingen goodwill"
"BIvaGooCuhBeg","Beginbalans goodwill"
"BIvaGooCuhHer","Herwaarderingen goodwill"
