"code","name"
"BMvaOzvCuhAfh","Afschrijving herwaarderingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCuhDeh","Desinvestering herwaarderingen onroerende zaken verkocht onder voorwaarden"
"BMvaOvg","Overige vastgoedbeleggingen"
"BMvaOvgVvp","Verkrijgings- of vervaardigingsprijs overige vastgoedbeleggingen"
"BMvaOvgVvpBeg","Beginbalans overige vastgoedbeleggingen"
"BMvaOvgVvpIna","Investeringen nieuw aangeschaft overige vastgoedbeleggingen"
"BMvaOvgVvpIta","Investeringen tweedehands aangeschaft overige vastgoedbeleggingen"
"BMvaOvgVvpIie","Investeringen in eigen beheer vervaardigd overige vastgoedbeleggingen"
"BMvaOvgVvpAdo","Aankopen door overnames overige vastgoedbeleggingen"
"BMvaOvgVvpDes","Desinvesteringen overige vastgoedbeleggingen"
"BMvaOvgVvpDda","Desinvesteringen door afstotingen overige vastgoedbeleggingen"
"BMvaOvgVvpOmv","Omrekeningsverschillen overige vastgoedbeleggingen"
"BMvaOvgVvpOve","Overboekingen overige vastgoedbeleggingen"
"BMvaOvgVvpOvm","Overige mutaties overige vastgoedbeleggingen"
"BMvaOvgCae","Cumulatieve afschrijvingen en waardeverminderingen overige vastgoedbeleggingen"
"BMvaOvgCaeBeg","Beginbalans overige vastgoedbeleggingen"
"BMvaOvgCaeAfs","Afschrijvingen overige vastgoedbeleggingen"
"BMvaOvgCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen overige vastgoedbeleggingen"
"BMvaOvgCaeWvr","Waardeverminderingen overige vastgoedbeleggingen"
"BMvaOvgCaeTvw","Terugneming van waardeverminderingen overige vastgoedbeleggingen"
"BMvaOvgCuh","Cumulatieve herwaarderingen overige vastgoedbeleggingen"
"BMvaOvgCuhBeg","Beginbalans overige vastgoedbeleggingen"
"BMvaOvgCuhHer","Herwaarderingen overige vastgoedbeleggingen"
"BMvaOvgCuhAfh","Afschrijving herwaarderingen overige vastgoedbeleggingen"
"BMvaOvgCuhDeh","Desinvestering herwaarderingen overige vastgoedbeleggingen"
"BMvaHuu","Huurdersinvesteringen"
"BMvaHuuVvp","Verkrijgings- of vervaardigingsprijs huurdersinvesteringen"
"BMvaHuuVvpBeg","Beginbalans huurdersinvesteringen"
"BMvaHuuVvpIna","Investeringen nieuw aangeschaft huurdersinvesteringen"
"BMvaHuuVvpIta","Investeringen tweedehands aangeschaft huurdersinvesteringen"
"BMvaHuuVvpIie","Investeringen in eigen beheer vervaardigd huurdersinvesteringen"
"BMvaHuuVvpAdo","Aankopen door overnames huurdersinvesteringen"
"BMvaHuuVvpDes","Desinvesteringen huurdersinvesteringen"
"BMvaHuuVvpDda","Desinvesteringen door afstotingen huurdersinvesteringen"
"BMvaHuuVvpOmv","Omrekeningsverschillen huurdersinvesteringen"
"BMvaHuuVvpOve","Overboekingen huurdersinvesteringen"
"BMvaHuuVvpOvm","Overige mutaties huurdersinvesteringen"
"BMvaHuuCae","Cumulatieve afschrijvingen en waardeverminderingen huurdersinvesteringen"
"BMvaHuuCaeBeg","Beginbalans huurdersinvesteringen"
"BMvaHuuCaeAfs","Afschrijvingen huurdersinvesteringen"
"BMvaHuuCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen huurdersinvesteringen"
"BMvaHuuCaeWvr","Waardeverminderingen huurdersinvesteringen"
"BMvaHuuCaeTvw","Terugneming van waardeverminderingen huurdersinvesteringen"
"BMvaHuuCuh","Cumulatieve herwaarderingen huurdersinvesteringen"
"BMvaHuuCuhBeg","Beginbalans huurdersinvesteringen"
"BMvaHuuCuhHer","Herwaarderingen huurdersinvesteringen"
"BMvaHuuCuhAfh","Afschrijving herwaarderingen huurdersinvesteringen"
"BMvaHuuCuhDeh","Desinvestering herwaarderingen huurdersinvesteringen"
"BMvaMei","Machines en installaties"
"BMvaMeiVvp","Verkrijgings- of vervaardigingsprijs machines en installaties"
"BMvaMeiVvpBeg","Beginbalans machines en installaties"
"BMvaMeiVvpIna","Investeringen nieuw aangeschaft machines en installaties"
"BMvaMeiVvpIta","Investeringen tweedehands aangeschaft machines en installaties"
"BMvaMeiVvpIie","Investeringen in eigen beheer vervaardigd machines en installaties"
"BMvaMeiVvpAdo","Aankopen door overnames machines en installaties"
"BMvaMeiVvpDes","Desinvesteringen machines en installaties"
"BMvaMeiVvpDda","Desinvesteringen door afstotingen machines en installaties"
"BMvaMeiVvpOmv","Omrekeningsverschillen machines en installaties"
"BMvaMeiVvpOve","Overboekingen machines en installaties"
"BMvaMeiVvpOvm","Overige mutaties machines en installaties"
"BMvaMeiCae","Cumulatieve afschrijvingen en waardeverminderingen machines en installaties"
"BMvaMeiCaeBeg","Beginbalans machines en installaties"
"BMvaMeiCaeAfs","Afschrijvingen machines en installaties"
"BMvaMeiCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen machines en installaties"
"BMvaMeiCaeWvr","Waardeverminderingen machines en installaties"
"BMvaMeiCaeTvw","Terugneming van waardeverminderingen machines en installaties"
"BMvaMeiCuh","Cumulatieve herwaarderingen machines en installaties"
"BMvaMeiCuhBeg","Beginbalans machines en installaties"
"BMvaMeiCuhHer","Herwaarderingen machines en installaties"
"BMvaMeiCuhAfh","Afschrijving herwaarderingen machines en installaties"
"BMvaMeiCuhDeh","Desinvestering herwaarderingen machines en installaties"
"BMvaVli","Vliegtuigen"
"BMvaVliVvp","Verkrijgings- of vervaardigingsprijs vliegtuigen"
"BMvaVliVvpBeg","Beginbalans vliegtuigen"
"BMvaVliVvpIna","Investeringen nieuw aangeschaft vliegtuigen"
"BMvaVliVvpIta","Investeringen tweedehands aangeschaft vliegtuigen"
"BMvaVliVvpIie","Investeringen in eigen beheer vervaardigd vliegtuigen"
"BMvaVliVvpAdo","Aankopen door overnames vliegtuigen"
"BMvaVliVvpDes","Desinvesteringen vliegtuigen"
"BMvaVliVvpDda","Desinvesteringen door afstotingen vliegtuigen"
"BMvaVliVvpOmv","Omrekeningsverschillen vliegtuigen"
"BMvaVliVvpOve","Overboekingen vliegtuigen"
"BMvaVliVvpOvm","Overige mutaties vliegtuigen"
"BMvaVliCae","Cumulatieve afschrijvingen en waardeverminderingen vliegtuigen"
"BMvaVliCaeBeg","Beginbalans vliegtuigen"
"BMvaVliCaeAfs","Afschrijvingen vliegtuigen"
"BMvaVliCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen vliegtuigen"
"BMvaVliCaeWvr","Waardeverminderingen vliegtuigen"
"BMvaVliCaeTvw","Terugneming van waardeverminderingen vliegtuigen"
"BMvaVliCuh","Cumulatieve herwaarderingen vliegtuigen"
"BMvaVliCuhBeg","Beginbalans vliegtuigen"
"BMvaVliCuhHer","Herwaarderingen vliegtuigen"
"BMvaVliCuhAfh","Afschrijving herwaarderingen vliegtuigen"
"BMvaVliCuhDeh","Desinvestering herwaarderingen vliegtuigen"
"BMvaSch","Schepen"
"BMvaSchVvp","Verkrijgings- of vervaardigingsprijs schepen"
"BMvaSchVvpBeg","Beginbalans schepen"
"BMvaSchVvpIna","Investeringen nieuw aangeschaft schepen"
"BMvaSchVvpIta","Investeringen tweedehands aangeschaft schepen"
"BMvaSchVvpIie","Investeringen in eigen beheer vervaardigd schepen"
"BMvaSchVvpAdo","Aankopen door overnames schepen"
"BMvaSchVvpDes","Desinvesteringen schepen"
"BMvaSchVvpDda","Desinvesteringen door afstotingen schepen"
"BMvaSchVvpOmv","Omrekeningsverschillen schepen"
"BMvaSchVvpOve","Overboekingen schepen"
"BMvaSchVvpOvm","Overige mutaties schepen"
"BMvaSchCae","Cumulatieve afschrijvingen en waardeverminderingen schepen"
"BMvaSchCaeBeg","Beginbalans schepen"
"BMvaSchCaeAfs","Afschrijvingen schepen"
"BMvaSchCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen schepen"
"BMvaSchCaeWvr","Waardeverminderingen schepen"
"BMvaSchCaeTvw","Terugneming van waardeverminderingen schepen"
"BMvaSchCuh","Cumulatieve herwaarderingen schepen"
"BMvaSchCuhBeg","Beginbalans schepen"
"BMvaSchCuhHer","Herwaarderingen schepen"
"BMvaSchCuhAfh","Afschrijving herwaarderingen schepen"
"BMvaSchCuhDeh","Desinvestering herwaarderingen schepen"
"BMvaTev","Transport- en vervoermiddelen"
"BMvaTevVvp","Verkrijgings- of vervaardigingsprijs transport- en vervoermiddelen"
"BMvaTevVvpBeg","Beginbalans transport- en vervoermiddelen"
"BMvaTevVvpIna","Investeringen nieuw aangeschaft transport- en vervoermiddelen"
"BMvaTevVvpIta","Investeringen tweedehands aangeschaft transport- en vervoermiddelen"
"BMvaTevVvpIie","Investeringen in eigen beheer vervaardigd transport- en vervoermiddelen"
"BMvaTevVvpAdo","Aankopen door overnames transport- en vervoermiddelen"
"BMvaTevVvpDes","Desinvesteringen transport- en vervoermiddelen"
"BMvaTevVvpDda","Desinvesteringen door afstotingen transport- en vervoermiddelen"
"BMvaTevVvpOmv","Omrekeningsverschillen transport- en vervoermiddelen"
"BMvaTevVvpOve","Overboekingen transport- en vervoermiddelen"
"BMvaTevVvpOvm","Overige mutaties transport- en vervoermiddelen"
"BMvaTevCae","Cumulatieve afschrijvingen en waardeverminderingen transport- en vervoermiddelen"
"BMvaTevCaeBeg","Beginbalans transport- en vervoermiddelen"
"BMvaTevCaeAfs","Afschrijvingen transport- en vervoermiddelen"
"BMvaTevCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen transport- en vervoermiddelen"
"BMvaTevCaeWvr","Waardeverminderingen transport- en vervoermiddelen"
"BMvaTevCaeTvw","Terugneming van waardeverminderingen transport- en vervoermiddelen"
"BMvaTevCuh","Cumulatieve herwaarderingen transport- en vervoermiddelen"
"BMvaTevCuhBeg","Beginbalans transport- en vervoermiddelen"
"BMvaTevCuhHer","Herwaarderingen transport- en vervoermiddelen"
"BMvaTevCuhAfh","Afschrijving herwaarderingen transport- en vervoermiddelen"
"BMvaTevCuhDeh","Desinvestering herwaarderingen transport- en vervoermiddelen"
"BMvaObe","Overige vaste bedrijfsmiddelen"
"BMvaObeVvp","Verkrijgings- of vervaardigingsprijs overige vaste bedrijfsmiddelen"
"BMvaObeVvpBeg","Beginbalans overige vaste bedrijfsmiddelen"
"BMvaObeVvpIna","Investeringen nieuw aangeschaft overige vaste bedrijfsmiddelen"
"BMvaObeVvpIta","Investeringen tweedehands aangeschaft overige vaste bedrijfsmiddelen"
"BMvaObeVvpIie","Investeringen in eigen beheer vervaardigd overige vaste bedrijfsmiddelen"
"BMvaObeVvpAdo","Aankopen door overnames overige vaste bedrijfsmiddelen"
"BMvaObeVvpDes","Desinvesteringen overige vaste bedrijfsmiddelen"
"BMvaObeVvpDda","Desinvesteringen door afstotingen overige vaste bedrijfsmiddelen"
"BMvaObeVvpOmv","Omrekeningsverschillen overige vaste bedrijfsmiddelen"
"BMvaObeVvpOve","Overboekingen overige vaste bedrijfsmiddelen"
"BMvaObeVvpOvm","Overige mutaties overige vaste bedrijfsmiddelen"
"BMvaObeCae","Cumulatieve afschrijvingen en waardeverminderingen overige vaste bedrijfsmiddelen"
"BMvaObeCaeBeg","Beginbalans overige vaste bedrijfsmiddelen"
"BMvaObeCaeAfs","Afschrijvingen overige vaste bedrijfsmiddelen"
"BMvaObeCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen overige vaste bedrijfsmiddelen"
"BMvaObeCaeWvr","Waardeverminderingen overige vaste bedrijfsmiddelen"
"BMvaObeCaeTvw","Terugneming van waardeverminderingen overige vaste bedrijfsmiddelen"
"BMvaObeCuh","Cumulatieve herwaarderingen overige vaste bedrijfsmiddelen"
"BMvaObeCuhBeg","Beginbalans overige vaste bedrijfsmiddelen"
"BMvaObeCuhHer","Herwaarderingen overige vaste bedrijfsmiddelen"
"BMvaObeCuhAfh","Afschrijving herwaarderingen overige vaste bedrijfsmiddelen"
"BMvaObeCuhDeh","Desinvestering herwaarderingen overige vaste bedrijfsmiddelen"
"BMvaBei","Bedrijfsinventaris"
"BMvaBeiVvp","Verkrijgings- of vervaardigingsprijs bedrijfsinventaris"
"BMvaBeiVvpBeg","Beginbalans bedrijfsinventaris"
"BMvaBeiVvpIna","Investeringen nieuw aangeschaft bedrijfsinventaris"
"BMvaBeiVvpIta","Investeringen tweedehands aangeschaft bedrijfsinventaris"
"BMvaBeiVvpIie","Investeringen in eigen beheer vervaardigd bedrijfsinventaris"
"BMvaBeiVvpAdo","Aankopen door overnames bedrijfsinventaris"
"BMvaBeiVvpDes","Desinvesteringen bedrijfsinventaris"
"BMvaBeiVvpDda","Desinvesteringen door afstotingen bedrijfsinventaris"
"BMvaBeiVvpOmv","Omrekeningsverschillen bedrijfsinventaris"
"BMvaBeiVvpOve","Overboekingen bedrijfsinventaris"
"BMvaBeiVvpOvm","Overige mutaties bedrijfsinventaris"
"BMvaBeiCae","Cumulatieve afschrijvingen en waardeverminderingen bedrijfsinventaris"
"BMvaBeiCaeBeg","Beginbalans bedrijfsinventaris"
"BMvaBeiCaeAfs","Afschrijvingen bedrijfsinventaris"
"BMvaBeiCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen bedrijfsinventaris"
"BMvaBeiCaeWvr","Waardeverminderingen bedrijfsinventaris"
"BMvaBeiCaeTvw","Terugneming van waardeverminderingen bedrijfsinventaris"
"BMvaBeiCuh","Cumulatieve herwaarderingen bedrijfsinventaris"
"BMvaBeiCuhBeg","Beginbalans bedrijfsinventaris"
"BMvaBeiCuhHer","Herwaarderingen bedrijfsinventaris"
"BMvaBeiCuhAfh","Afschrijving herwaarderingen bedrijfsinventaris"
"BMvaBeiCuhDeh","Desinvestering herwaarderingen bedrijfsinventaris"
"BMvaVbi","Vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvp","Verkrijgings- of vervaardigingsprijs vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpBeg","Beginbalans vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpIna","Investeringen nieuw aangeschaft vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpIta","Investeringen tweedehands aangeschaft vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpIie","Investeringen in eigen beheer vervaardigd vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpAdo","Aankopen door overnames vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpDes","Desinvesteringen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpDda","Desinvesteringen door afstotingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpOmv","Omrekeningsverschillen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpOve","Overboekingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiVvpOvm","Overige mutaties vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCae","Cumulatieve afschrijvingen en waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCaeBeg","Beginbalans vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCaeAfs","Afschrijvingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCaeWvr","Waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCaeTvw","Terugneming van waardeverminderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCuh","Cumulatieve herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCuhBeg","Beginbalans vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCuhHer","Herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCuhAfh","Afschrijving herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaVbiCuhDeh","Desinvestering herwaarderingen vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa"
"BMvaNad","Niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvp","Verkrijgings- of vervaardigingsprijs niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpBeg","Beginbalans niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpIna","Investeringen nieuw aangeschaft niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpIta","Investeringen tweedehands aangeschaft niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpIie","Investeringen in eigen beheer vervaardigd niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpAdo","Aankopen door overnames niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpDes","Desinvesteringen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpDda","Desinvesteringen door afstotingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpOmv","Omrekeningsverschillen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpOve","Overboekingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadVvpOvm","Overige mutaties niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCae","Cumulatieve afschrijvingen en waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCaeBeg","Beginbalans niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCaeAfs","Afschrijvingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCaeWvr","Waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCaeTvw","Terugneming van waardeverminderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCuh","Cumulatieve herwaarderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCuhBeg","Beginbalans niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCuhHer","Herwaarderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCuhAfh","Afschrijving herwaarderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaNadCuhDeh","Desinvestering herwaarderingen niet aan de bedrijfsuitoefening dienstbaar"
"BMvaOmv","Overige materiële vaste activa"
"BMvaOmvVvp","Verkrijgings- of vervaardigingsprijs overige materiële vaste activa"
"BMvaOmvVvpBeg","Beginbalans overige materiële vaste activa"
"BMvaOmvVvpIna","Investeringen nieuw aangeschaft overige materiële vaste activa"
"BMvaOmvVvpIta","Investeringen tweedehands aangeschaft overige materiële vaste activa"
"BMvaOmvVvpIie","Investeringen in eigen beheer vervaardigd overige materiële vaste activa"
"BMvaOmvVvpAdo","Aankopen door overnames overige materiële vaste activa"
"BMvaOmvVvpDes","Desinvesteringen overige materiële vaste activa"
"BMvaOmvVvpDda","Desinvesteringen door afstotingen overige materiële vaste activa"
"BMvaOmvVvpOmv","Omrekeningsverschillen overige materiële vaste activa"
"BMvaOmvVvpOve","Overboekingen overige materiële vaste activa"
"BMvaOmvVvpOvm","Overige mutaties overige materiële vaste activa"
"BMvaOmvCae","Cumulatieve afschrijvingen en waardeverminderingen overige materiële vaste activa"
"BMvaOmvCaeBeg","Beginbalans overige materiële vaste activa"
"BMvaOmvCaeAfs","Afschrijvingen overige materiële vaste activa"
"BMvaOmvCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen overige materiële vaste activa"
"BMvaOmvCaeWvr","Waardeverminderingen overige materiële vaste activa"
"BMvaOmvCaeTvw","Terugneming van waardeverminderingen overige materiële vaste activa"
"BMvaOmvCuh","Cumulatieve herwaarderingen overige materiële vaste activa"
"BMvaOmvCuhBeg","Beginbalans overige materiële vaste activa"
"BMvaOmvCuhHer","Herwaarderingen overige materiële vaste activa"
"BMvaOmvCuhAfh","Afschrijving herwaarderingen overige materiële vaste activa"
"BMvaOmvCuhDeh","Desinvestering herwaarderingen overige materiële vaste activa"
"BFva","FINANCIËLE VASTE ACTIVA"
"BFvaDig","Deelnemingen in groepsmaatschappijen"
"BFvaDigNev","Netto vermogenswaarde deelnemingen in groepsmaatschappijen"
"BFvaDigNevBeg","Beginbalans deelnemingen in groepsmaatschappijen"
"BFvaDigNevInv","Investeringen deelnemingen in groepsmaatschappijen"
"BFvaDigNevAdo","Aankopen door overnames deelnemingen in groepsmaatschappijen"
"BFvaDigNevDes","Desinvesteringen deelnemingen in groepsmaatschappijen"
"BFvaDigNevDda","Desinvesteringen door afstotingen deelnemingen in groepsmaatschappijen"
"BFvaDigNevAir","Aandeel in resultaat deelnemingen in groepsmaatschappijen"
"BFvaDigNevDvd","Dividend van deelnemingen in groepsmaatschappijen"
"BFvaDigNevAid","Aandeel in directe vermogenstransacties deelnemingen in groepsmaatschappijen"
"BFvaDigNevOmv","Omrekeningsverschillen deelnemingen in groepsmaatschappijen"
"BFvaDigNevOvm","Overige mutaties deelnemingen in groepsmaatschappijen"
"BFvaDigCae","Cumulatieve afschrijvingen en waardeverminderingen deelnemingen in groepsmaatschappijen"
"BFvaDigCaeBeg","Beginbalans deelnemingen in groepsmaatschappijen"
"BFvaDigCaeAfs","Afschrijvingen deelnemingen in groepsmaatschappijen"
"BFvaDigCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen deelnemingen in groepsmaatschappijen"
"BFvaDigCaeWvr","Waardeverminderingen deelnemingen in groepsmaatschappijen"
"BFvaDigCaeTvw","Terugneming van waardeverminderingen deelnemingen in groepsmaatschappijen"
"BFvaDigCuh","Cumulatieve herwaarderingen deelnemingen in groepsmaatschappijen"
"BFvaDigCuhBeg","Beginbalans deelnemingen in groepsmaatschappijen"
"BFvaDigCuhHer","Herwaarderingen deelnemingen in groepsmaatschappijen"
"BFvaDigCuhAfh","Afschrijving herwaarderingen deelnemingen in groepsmaatschappijen"
"BFvaDigCuhDeh","Desinvestering herwaarderingen deelnemingen in groepsmaatschappijen"
"BFvaDio","Deelnemingen in overige verbonden maatschappijen"
"BFvaDioKpr","Kostprijs deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprBeg","Beginbalans deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprInv","Investeringen deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprAdo","Aankopen door overnames deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprDes","Desinvesteringen deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprDda","Desinvesteringen door afstotingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprAid","Aandeel in directe vermogenstransacties deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprOmv","Omrekeningsverschillen deelnemingen in overige verbonden maatschappijen"
"BFvaDioKprOvm","Overige mutaties deelnemingen in overige verbonden maatschappijen"
"BFvaDioNev","Netto vermogenswaarde deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevBeg","Beginbalans deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevInv","Investeringen deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevAdo","Aankopen door overnames deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevDes","Desinvesteringen deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevDda","Desinvesteringen door afstotingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevAir","Aandeel in resultaat deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevDvd","Dividend van deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevAid","Aandeel in directe vermogenstransacties deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevOmv","Omrekeningsverschillen deelnemingen in overige verbonden maatschappijen"
"BFvaDioNevOvm","Overige mutaties deelnemingen in overige verbonden maatschappijen"
"BFvaDioCae","Cumulatieve afschrijvingen en waardeverminderingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCaeBeg","Beginbalans deelnemingen in overige verbonden maatschappijen"
"BFvaDioCaeAfs","Afschrijvingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCaeWvr","Waardeverminderingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCaeTvw","Terugneming van waardeverminderingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCuh","Cumulatieve herwaarderingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCuhBeg","Beginbalans deelnemingen in overige verbonden maatschappijen"
"BFvaDioCuhHer","Herwaarderingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCuhAfh","Afschrijving herwaarderingen deelnemingen in overige verbonden maatschappijen"
"BFvaDioCuhDeh","Desinvestering herwaarderingen deelnemingen in overige verbonden maatschappijen"
"BFvaAnd","Andere deelnemingen"
"BFvaAndKpr","Kostprijs andere deelnemingen"
"BFvaAndKprBeg","Beginbalans andere deelnemingen"
"BFvaAndKprInv","Investeringen andere deelnemingen"
"BFvaAndKprAdo","Aankopen door overnames andere deelnemingen"
"BFvaAndKprDes","Desinvesteringen andere deelnemingen"
"BFvaAndKprDda","Desinvesteringen door afstotingen andere deelnemingen"
"BFvaAndKprAid","Aandeel in directe vermogenstransacties andere deelnemingen"
"BFvaAndKprOmv","Omrekeningsverschillen andere deelnemingen"
"BFvaAndKprOvm","Overige mutaties andere deelnemingen"
"BFvaAndCae","Cumulatieve afschrijvingen en waardeverminderingen andere deelnemingen"
"BFvaAndCaeBeg","Beginbalans andere deelnemingen"
"BFvaAndCaeAfs","Afschrijvingen andere deelnemingen"
"BFvaAndCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen andere deelnemingen"
"BFvaAndCaeWvr","Waardeverminderingen andere deelnemingen"
"BFvaAndCaeTvw","Terugneming van waardeverminderingen andere deelnemingen"
"BFvaAndCuh","Cumulatieve herwaarderingen andere deelnemingen"
"BFvaAndCuhBeg","Beginbalans andere deelnemingen"
"BFvaAndCuhHer","Herwaarderingen andere deelnemingen"
"BFvaAndCuhAfh","Afschrijving herwaarderingen andere deelnemingen"
"BFvaAndCuhDeh","Desinvestering herwaarderingen andere deelnemingen"
"BFvaOve","Overige effecten"
"BFvaOveWaa","Waarde overige effecten"
"BFvaOveWaaBeg","Beginbalans overige effecten"
"BFvaOveWaaInv","Investeringen overige effecten"
"BFvaOveWaaAan","Aankoop overige effecten"
"BFvaOveWaaVrk","Verkoop overige effecten"
"BFvaOveWaaWst","Waardestijgingen overige effecten"
"BFvaOveWaaOmv","Omrekeningsverschillen overige effecten"
"BFvaOveWaaOvm","Overige mutaties overige effecten"
"BFvaOveCuw","Cumulatieve waardeverminderingen overige effecten"
"BFvaOveCuwBeg","Beginbalans overige effecten"
"BFvaOveCuwWvr","Waardeverminderingen overige effecten"
"BFvaOveCuwTvw","Terugneming van waardeverminderingen overige effecten"
"BFvaOveCuh","Cumulatieve herwaarderingen overige effecten"
"BFvaOveCuhBeg","Beginbalans overige effecten"
"BFvaOveCuhHer","Herwaarderingen overige effecten"
"BFvaOveCuhAfh","Afschrijving herwaarderingen overige effecten"
"BFvaOveCuhDeh","Desinvestering herwaarderingen overige effecten"
